name,time,host,load1,load15,load5,n_cpus,n_users,uptime,uptime_format
system,1664717720000000000,ip-172-31-17-0,0.14,0.01,0.03,1,1,1493," 0:24"
system,1664717730000000000,ip-172-31-17-0,0.12,0.01,0.03,1,1,1503," 0:25"
system,1664717740000000000,ip-172-31-17-0,0.1,0.01,0.03,1,1,1513," 0:25"
system,1664717750000000000,ip-172-31-17-0,0.08,0.01,0.03,1,1,1523," 0:25"
system,1664717760000000000,ip-172-31-17-0,0.07,0.01,0.03,1,1,1533," 0:25"
system,1664717770000000000,ip-172-31-17-0,0.06,0.01,0.03,1,1,1543," 0:25"
system,1664717780000000000,ip-172-31-17-0,0.05,0,0.02,1,1,1553," 0:25"
system,1664717790000000000,ip-172-31-17-0,0.04,0,0.02,1,1,1563," 0:26"
system,1664717800000000000,ip-172-31-17-0,0.04,0,0.02,1,1,1573," 0:26"
system,1664717810000000000,ip-172-31-17-0,0.03,0,0.02,1,1,1583," 0:26"
system,1664717820000000000,ip-172-31-17-0,0.02,0,0.02,1,1,1593," 0:26"
system,1664717830000000000,ip-172-31-17-0,0.02,0,0.02,1,1,1603," 0:26"
system,1664717840000000000,ip-172-31-17-0,0.02,0,0.02,1,1,1613," 0:26"
system,1664717850000000000,ip-172-31-17-0,0.01,0,0.02,1,1,1623," 0:27"
system,1664717860000000000,ip-172-31-17-0,0.38,0.03,0.1,1,1,1633," 0:27"
system,1664717870000000000,ip-172-31-17-0,0.32,0.03,0.1,1,1,1643," 0:27"
system,1664717880000000000,ip-172-31-17-0,0.27,0.02,0.09,1,1,1653," 0:27"
system,1664717890000000000,ip-172-31-17-0,0.23,0.02,0.09,1,1,1663," 0:27"
system,1664717900000000000,ip-172-31-17-0,0.19,0.02,0.08,1,1,1673," 0:27"
system,1664717910000000000,ip-172-31-17-0,0.16,0.02,0.08,1,1,1683," 0:28"
system,1664717920000000000,ip-172-31-17-0,0.14,0.02,0.08,1,1,1693," 0:28"
system,1664717930000000000,ip-172-31-17-0,0.19,0.03,0.09,1,1,1703," 0:28"
system,1664717940000000000,ip-172-31-17-0,0.16,0.02,0.09,1,1,1713," 0:28"
system,1664717950000000000,ip-172-31-17-0,0.14,0.02,0.08,1,1,1723," 0:28"
system,1664717960000000000,ip-172-31-17-0,0.11,0.02,0.08,1,1,1733," 0:28"
system,1664717970000000000,ip-172-31-17-0,0.1,0.02,0.08,1,1,1743," 0:29"
system,1664717980000000000,ip-172-31-17-0,0.08,0.02,0.08,1,1,1753," 0:29"
system,1664717990000000000,ip-172-31-17-0,0.07,0.02,0.07,1,1,1763," 0:29"
