name,time,channel,pga,raw,scale,voltage
ads1115_data,1746006810562060039,AIN0,6.144,5011,0.0001875,0.939562
ads1115_data,1746006810912802790,AIN1,6.144,2184,0.0001875,0.4095
ads1115_data,1746006811221785553,AIN2,6.144,3174,0.0001875,0.595125
ads1115_data,1746006811548477659,AIN3,6.144,7407,0.0001875,1.38881
ads1115_data,1746006811877090699,AIN0-AIN1,6.144,0,0.0001875,0
ads1115_data,1746006812183195753,AIN2-AIN3,6.144,293,0.0001875,0.0549375
ads1115_data,1746006812502485885,AIN0,4.096,9627,0.000125,1.20338
ads1115_data,1746006812806154013,AIN1,4.096,19836,0.000125,2.4795
ads1115_data,1746006813157080963,AIN2,4.096,902,0.000125,0.11275
ads1115_data,1746006813462039602,AIN3,4.096,5038,0.000125,0.62975
ads1115_data,1746006813783071808,AIN0-AIN1,4.096,0,0.000125,0
ads1115_data,1746006814111088634,AIN2-AIN3,4.096,162,0.000125,0.02025
ads1115_data,1746006814428129329,AIN0,2.048,18101,0.0000625,1.13131
ads1115_data,1746006814746132522,AIN1,2.048,19660,0.0000625,1.22875
ads1115_data,1746006815077109493,AIN2,2.048,365,0.0000625,0.0228125
ads1115_data,1746006815386204518,AIN3,2.048,10134,0.0000625,0.633375
ads1115_data,1746006815715245653,AIN0-AIN1,2.048,1,0.0000625,0.0000625
ads1115_data,1746006816033499776,AIN2-AIN3,2.048,8,0.0000625,0.0005
ads1115_data,1746006816352246651,AIN0,1.024,5885,0.00003125,0.183906
ads1115_data,1746006816663374739,AIN1,1.024,17251,0.00003125,0.539094
ads1115_data,1746006816996273412,AIN2,1.024,2781,0.00003125,0.0869063
ads1115_data,1746006817303232177,AIN3,1.024,11369,0.00003125,0.355281
ads1115_data,1746006817618405614,AIN0-AIN1,1.024,1,0.00003125,0.00003125
ads1115_data,1746006817926209794,AIN2-AIN3,1.024,11,0.00003125,0.00034375
ads1115_data,1746006818263159176,AIN0,0.512,9063,0.000015625,0.141609
ads1115_data,1746006818595707106,AIN1,0.512,-6508,0.000015625,-0.101688
ads1115_data,1746006818903116072,AIN2,0.512,3548,0.000015625,0.0554375
ads1115_data,1746006819234287176,AIN3,0.512,-3013,0.000015625,-0.0470781
ads1115_data,1746006819549328257,AIN0-AIN1,0.512,1,0.000015625,0.000015625
ads1115_data,1746006819867121415,AIN2-AIN3,0.512,0,0.000015625,0
ads1115_data,1746006820189315707,AIN0,0.256,24024,0.0000078125,0.187688
ads1115_data,1746006820503291782,AIN1,0.256,20194,0.0000078125,0.157766
ads1115_data,1746006820807268032,AIN2,0.256,12471,0.0000078125,0.0974297
ads1115_data,1746006821147279785,AIN3,0.256,12188,0.0000078125,0.0952188
ads1115_data,1746006821462426423,AIN0-AIN1,0.256,5,0.0000078125,0.0000390625
